Verb,conjugation,subject,option,verb_translation,subject_translation,option_translation,verb_base,subject_base,option_base
aller, allasses, 2-sg, subjonctif-imparfait, go, you, subjonctif imparfait,aller,,
aller, all̢t, 3-sg-m, subjonctif-imparfait, go, he, subjonctif imparfait,aller,,
aller, all̢t, 3-sg-f, subjonctif-imparfait, go, she, subjonctif imparfait,aller,,
aller, all̢t, 3-sg-n, subjonctif-imparfait, go, it, subjonctif imparfait,aller,,
aller, allassions, 1-pl, subjonctif-imparfait, go, we, subjonctif imparfait,aller,,
aller, allassiez, 2-pl, subjonctif-imparfait, go, you all, subjonctif imparfait,aller,,
aller, allassent, 3-pl-m, subjonctif-imparfait, go, they (m), subjonctif imparfait,aller,,
aller, allassent, 3-pl-f, subjonctif-imparfait, go, they (f), subjonctif imparfait,aller,,
aller, aille, 1-sg, subjonctif-present, go, i, subjonctif present,aller,,
aller, ailles, 2-sg, subjonctif-present, go, you, subjonctif present,aller,,
aller, aille, 3-sg-m, subjonctif-present, go, he, subjonctif present,aller,,
aller, aille, 3-sg-f, subjonctif-present, go, she, subjonctif present,aller,,
aller, aille, 3-sg-n, subjonctif-present, go, it, subjonctif present,aller,,
aller, allions, 1-pl, subjonctif-present, go, we, subjonctif present,aller,,
aller, alliez, 2-pl, subjonctif-present, go, you all, subjonctif present,aller,,
aller, aillent, 3-pl-m, subjonctif-present, go, they (m), subjonctif present,aller,,
aller, aillent, 3-pl-f, subjonctif-present, go, they (f), subjonctif present,aller,,
avoir, aurais, 1-sg, conditionnel-present, have, i, conditionnel present,avoir,,
avoir, aurais, 2-sg, conditionnel-present, have, you, conditionnel present,avoir,,
avoir, aurait, 3-sg-m, conditionnel-present, have, he, conditionnel present,avoir,,
avoir, aurait, 3-sg-f, conditionnel-present, have, she, conditionnel present,avoir,,
avoir, aurait, 3-sg-n, conditionnel-present, have, it, conditionnel present,avoir,,
avoir, aurions, 1-pl, conditionnel-present, have, we, conditionnel present,avoir,,
avoir, auriez, 2-pl, conditionnel-present, have, you all, conditionnel present,avoir,,
avoir, auraient, 3-pl-m, conditionnel-present, have, they (m), conditionnel present,avoir,,
avoir, auraient, 3-pl-f, conditionnel-present, have, they (f), conditionnel present,avoir,,
avoir, aie, 1-sg, imperatif-present, have, i, imperatif present,avoir,,
avoir, ayons, 2-sg, imperatif-present, have, you, imperatif present,avoir,,
avoir, ayez, 3-sg-m, imperatif-present, have, he, imperatif present,avoir,,
avoir, ayez, 3-sg-f, imperatif-present, have, she, imperatif present,avoir,,
avoir, ayez, 3-sg-n, imperatif-present, have, it, imperatif present,avoir,,
avoir, aurai, 1-sg, indicatif-futur, have, i, indicatif futur,avoir,,
avoir, auras, 2-sg, indicatif-futur, have, you, indicatif futur,avoir,,
avoir, aura, 3-sg-m, indicatif-futur, have, he, indicatif futur,avoir,,
avoir, aura, 3-sg-f, indicatif-futur, have, she, indicatif futur,avoir,,
avoir, aura, 3-sg-n, indicatif-futur, have, it, indicatif futur,avoir,,
avoir, aurons, 1-pl, indicatif-futur, have, we, indicatif futur,avoir,,
avoir, aurez, 2-pl, indicatif-futur, have, you all, indicatif futur,avoir,,
avoir, auront, 3-pl-m, indicatif-futur, have, they (m), indicatif futur,avoir,,
avoir, auront, 3-pl-f, indicatif-futur, have, they (f), indicatif futur,avoir,,
avoir, avais, 1-sg, indicatif-imparfait, have, i, indicatif imparfait,avoir,,
avoir, avais, 2-sg, indicatif-imparfait, have, you, indicatif imparfait,avoir,,
avoir, avait, 3-sg-m, indicatif-imparfait, have, he, indicatif imparfait,avoir,,
avoir, avait, 3-sg-f, indicatif-imparfait, have, she, indicatif imparfait,avoir,,
avoir, avait, 3-sg-n, indicatif-imparfait, have, it, indicatif imparfait,avoir,,
avoir, avions, 1-pl, indicatif-imparfait, have, we, indicatif imparfait,avoir,,
avoir, aviez, 2-pl, indicatif-imparfait, have, you all, indicatif imparfait,avoir,,
avoir, avaient, 3-pl-m, indicatif-imparfait, have, they (m), indicatif imparfait,avoir,,
avoir, avaient, 3-pl-f, indicatif-imparfait, have, they (f), indicatif imparfait,avoir,,
avoir, eus, 1-sg, indicatif-passe-simple, have, i, indicatif passe simple,avoir,,
avoir, eus, 2-sg, indicatif-passe-simple, have, you, indicatif passe simple,avoir,,
avoir, eut, 3-sg-m, indicatif-passe-simple, have, he, indicatif passe simple,avoir,,
avoir, eut, 3-sg-f, indicatif-passe-simple, have, she, indicatif passe simple,avoir,,
avoir, eut, 3-sg-n, indicatif-passe-simple, have, it, indicatif passe simple,avoir,,
avoir, e��mes, 1-pl, indicatif-passe-simple, have, we, indicatif passe simple,avoir,,
avoir, e��tes, 2-pl, indicatif-passe-simple, have, you all, indicatif passe simple,avoir,,
avoir, eurent, 3-pl-m, indicatif-passe-simple, have, they (m), indicatif passe simple,avoir,,
avoir, eurent, 3-pl-f, indicatif-passe-simple, have, they (f), indicatif passe simple,avoir,,
avoir, ai, 1-sg, indicatif-present, have, i, indicatif present,avoir,,
avoir, as, 2-sg, indicatif-present, have, you, indicatif present,avoir,,
avoir, a, 3-sg-m, indicatif-present, have, he, indicatif present,avoir,,
avoir, a, 3-sg-f, indicatif-present, have, she, indicatif present,avoir,,
avoir, a, 3-sg-n, indicatif-present, have, it, indicatif present,avoir,,
avoir, avons, 1-pl, indicatif-present, have, we, indicatif present,avoir,,
avoir, avez, 2-pl, indicatif-present, have, you all, indicatif present,avoir,,
avoir, ont, 3-pl-m, indicatif-present, have, they (m), indicatif present,avoir,,
avoir, ont, 3-pl-f, indicatif-present, have, they (f), indicatif present,avoir,,
avoir, eu, 3-sg-m, participe-passe, have, he, participe passe,avoir,,
avoir, eus, 3-pl-m, participe-passe, have, they (m), participe passe,avoir,,
avoir, eue, 3-sg-f, participe-passe, have, she, participe passe,avoir,,
avoir, eues, 3-pl-f, participe-passe, have, they (f), participe passe,avoir,,
avoir, eusse, 1-sg, subjonctif-imparfait, have, i, subjonctif imparfait,avoir,,
avoir, eusses, 2-sg, subjonctif-imparfait, have, you, subjonctif imparfait,avoir,,
avoir, e��t, 3-sg-m, subjonctif-imparfait, have, he, subjonctif imparfait,avoir,,
avoir, e��t, 3-sg-f, subjonctif-imparfait, have, she, subjonctif imparfait,avoir,,
avoir, e��t, 3-sg-n, subjonctif-imparfait, have, it, subjonctif imparfait,avoir,,
avoir, eussions, 1-pl, subjonctif-imparfait, have, we, subjonctif imparfait,avoir,,
avoir, eussiez, 2-pl, subjonctif-imparfait, have, you all, subjonctif imparfait,avoir,,
avoir, eussent, 3-pl-m, subjonctif-imparfait, have, they (m), subjonctif imparfait,avoir,,
avoir, eussent, 3-pl-f, subjonctif-imparfait, have, they (f), subjonctif imparfait,avoir,,
avoir, aie, 1-sg, subjonctif-present, have, i, subjonctif present,avoir,,
avoir, aies, 2-sg, subjonctif-present, have, you, subjonctif present,avoir,,
avoir, ait, 3-sg-m, subjonctif-present, have, he, subjonctif present,avoir,,
avoir, ait, 3-sg-f, subjonctif-present, have, she, subjonctif present,avoir,,
avoir, ait, 3-sg-n, subjonctif-present, have, it, subjonctif present,avoir,,
avoir, ayons, 1-pl, subjonctif-present, have, we, subjonctif present,avoir,,
avoir, ayez, 2-pl, subjonctif-present, have, you all, subjonctif present,avoir,,
avoir, aient, 3-pl-m, subjonctif-present, have, they (m), subjonctif present,avoir,,
avoir, aient, 3-pl-f, subjonctif-present, have, they (f), subjonctif present,avoir,,
ravoir, none, 1-sg, conditionnel-present, get back, i, conditionnel present,ravoir,,
ravoir, none, 2-sg, conditionnel-present, get back, you, conditionnel present,ravoir,,
ravoir, none, 3-sg-m, conditionnel-present, get back, he, conditionnel present,ravoir,,
ravoir, none, 3-sg-f, conditionnel-present, get back, she, conditionnel present,ravoir,,
ravoir, none, 3-sg-n, conditionnel-present, get back, it, conditionnel present,ravoir,,
ravoir, none, 1-pl, conditionnel-present, get back, we, conditionnel present,ravoir,,
ravoir, none, 2-pl, conditionnel-present, get back, you all, conditionnel present,ravoir,,
ravoir, none, 3-pl-m, conditionnel-present, get back, they (m), conditionnel present,ravoir,,
ravoir, none, 3-pl-f, conditionnel-present, get back, they (f), conditionnel present,ravoir,,
ravoir, none, 1-sg, imperatif-present, get back, i, imperatif present,ravoir,,
ravoir, none, 2-sg, imperatif-present, get back, you, imperatif present,ravoir,,
ravoir, none, 3-sg-m, imperatif-present, get back, he, imperatif present,ravoir,,
ravoir, none, 3-sg-f, imperatif-present, get back, she, imperatif present,ravoir,,
ravoir, none, 3-sg-n, imperatif-present, get back, it, imperatif present,ravoir,,
ravoir, none, 1-sg, indicatif-futur, get back, i, indicatif futur,ravoir,,
ravoir, none, 2-sg, indicatif-futur, get back, you, indicatif futur,ravoir,,
ravoir, none, 3-sg-m, indicatif-futur, get back, he, indicatif futur,ravoir,,
ravoir, none, 3-sg-f, indicatif-futur, get back, she, indicatif futur,ravoir,,
ravoir, none, 3-sg-n, indicatif-futur, get back, it, indicatif futur,ravoir,,
ravoir, none, 1-pl, indicatif-futur, get back, we, indicatif futur,ravoir,,
ravoir, none, 2-pl, indicatif-futur, get back, you all, indicatif futur,ravoir,,
ravoir, none, 3-pl-m, indicatif-futur, get back, they (m), indicatif futur,ravoir,,
ravoir, none, 3-pl-f, indicatif-futur, get back, they (f), indicatif futur,ravoir,,
ravoir, none, 1-sg, indicatif-imparfait, get back, i, indicatif imparfait,ravoir,,
ravoir, none, 2-sg, indicatif-imparfait, get back, you, indicatif imparfait,ravoir,,
ravoir, none, 3-sg-m, indicatif-imparfait, get back, he, indicatif imparfait,ravoir,,
ravoir, none, 3-sg-f, indicatif-imparfait, get back, she, indicatif imparfait,ravoir,,
ravoir, none, 3-sg-n, indicatif-imparfait, get back, it, indicatif imparfait,ravoir,,
ravoir, none, 1-pl, indicatif-imparfait, get back, we, indicatif imparfait,ravoir,,
ravoir, none, 2-pl, indicatif-imparfait, get back, you all, indicatif imparfait,ravoir,,
ravoir, none, 3-pl-m, indicatif-imparfait, get back, they (m), indicatif imparfait,ravoir,,
ravoir, none, 3-pl-f, indicatif-imparfait, get back, they (f), indicatif imparfait,ravoir,,
ravoir, none, 1-sg, indicatif-passe-simple, get back, i, indicatif passe simple,ravoir,,
ravoir, none, 2-sg, indicatif-passe-simple, get back, you, indicatif passe simple,ravoir,,
ravoir, none, 3-sg-m, indicatif-passe-simple, get back, he, indicatif passe simple,ravoir,,
ravoir, none, 3-sg-f, indicatif-passe-simple, get back, she, indicatif passe simple,ravoir,,
ravoir, none, 3-sg-n, indicatif-passe-simple, get back, it, indicatif passe simple,ravoir,,
ravoir, none, 1-pl, indicatif-passe-simple, get back, we, indicatif passe simple,ravoir,,
ravoir, none, 2-pl, indicatif-passe-simple, get back, you all, indicatif passe simple,ravoir,,
ravoir, none, 3-pl-m, indicatif-passe-simple, get back, they (m), indicatif passe simple,ravoir,,
ravoir, none, 3-pl-f, indicatif-passe-simple, get back, they (f), indicatif passe simple,ravoir,,
ravoir, none, 1-sg, indicatif-present, get back, i, indicatif present,ravoir,,
ravoir, none, 2-sg, indicatif-present, get back, you, indicatif present,ravoir,,
ravoir, none, 3-sg-m, indicatif-present, get back, he, indicatif present,ravoir,,
ravoir, none, 3-sg-f, indicatif-present, get back, she, indicatif present,ravoir,,
ravoir, none, 3-sg-n, indicatif-present, get back, it, indicatif present,ravoir,,
ravoir, none, 1-pl, indicatif-present, get back, we, indicatif present,ravoir,,
ravoir, none, 2-pl, indicatif-present, get back, you all, indicatif present,ravoir,,
ravoir, none, 3-pl-m, indicatif-present, get back, they (m), indicatif present,ravoir,,
ravoir, none, 3-pl-f, indicatif-present, get back, they (f), indicatif present,ravoir,,
ravoir, none, 3-sg-m, participe-passe, get back, he, participe passe,ravoir,,
ravoir, none, 3-pl-m, participe-passe, get back, they (m), participe passe,ravoir,,
ravoir, none, 3-sg-f, participe-passe, get back, she, participe passe,ravoir,,
ravoir, none, 3-pl-f, participe-passe, get back, they (f), participe passe,ravoir,,
ravoir, none, 1-sg, subjonctif-imparfait, get back, i, subjonctif imparfait,ravoir,,
ravoir, none, 2-sg, subjonctif-imparfait, get back, you, subjonctif imparfait,ravoir,,
ravoir, none, 3-sg-m, subjonctif-imparfait, get back, he, subjonctif imparfait,ravoir,,
ravoir, none, 3-sg-f, subjonctif-imparfait, get back, she, subjonctif imparfait,ravoir,,
ravoir, none, 3-sg-n, subjonctif-imparfait, get back, it, subjonctif imparfait,ravoir,,
ravoir, none, 1-pl, subjonctif-imparfait, get back, we, subjonctif imparfait,ravoir,,
ravoir, none, 2-pl, subjonctif-imparfait, get back, you all, subjonctif imparfait,ravoir,,
ravoir, none, 3-pl-m, subjonctif-imparfait, get back, they (m), subjonctif imparfait,ravoir,,
ravoir, none, 3-pl-f, subjonctif-imparfait, get back, they (f), subjonctif imparfait,ravoir,,
ravoir, none, 1-sg, subjonctif-present, get back, i, subjonctif present,ravoir,,
ravoir, none, 2-sg, subjonctif-present, get back, you, subjonctif present,ravoir,,
ravoir, none, 3-sg-m, subjonctif-present, get back, he, subjonctif present,ravoir,,
ravoir, none, 3-sg-f, subjonctif-present, get back, she, subjonctif present,ravoir,,
ravoir, none, 3-sg-n, subjonctif-present, get back, it, subjonctif present,ravoir,,
ravoir, none, 1-pl, subjonctif-present, get back, we, subjonctif present,ravoir,,
ravoir, none, 2-pl, subjonctif-present, get back, you all, subjonctif present,ravoir,,
ravoir, none, 3-pl-m, subjonctif-present, get back, they (m), subjonctif present,ravoir,,
ravoir, none, 3-pl-f, subjonctif-present, get back, they (f), subjonctif present,ravoir,,
etre, serais, 1-sg, conditionnel-present, be, i, conditionnel present,etre,,
etre, serais, 2-sg, conditionnel-present, be, you, conditionnel present,etre,,
etre, serait, 3-sg-m, conditionnel-present, be, he, conditionnel present,etre,,
etre, serait, 3-sg-f, conditionnel-present, be, she, conditionnel present,etre,,
etre, serait, 3-sg-n, conditionnel-present, be, it, conditionnel present,etre,,
etre, serions, 1-pl, conditionnel-present, be, we, conditionnel present,etre,,
etre, seriez, 2-pl, conditionnel-present, be, you all, conditionnel present,etre,,
etre, seraient, 3-pl-m, conditionnel-present, be, they (m), conditionnel present,etre,,
etre, seraient, 3-pl-f, conditionnel-present, be, they (f), conditionnel present,etre,,
etre, sois, 1-sg, imperatif-present, be, i, imperatif present,etre,,
etre, soyons, 2-sg, imperatif-present, be, you, imperatif present,etre,,
etre, soyez, 3-sg-m, imperatif-present, be, he, imperatif present,etre,,
etre, soyez, 3-sg-f, imperatif-present, be, she, imperatif present,etre,,
etre, soyez, 3-sg-n, imperatif-present, be, it, imperatif present,etre,,
etre, serai, 1-sg, indicatif-futur, be, i, indicatif futur,etre,,
etre, seras, 2-sg, indicatif-futur, be, you, indicatif futur,etre,,
etre, sera, 3-sg-m, indicatif-futur, be, he, indicatif futur,etre,,
etre, sera, 3-sg-f, indicatif-futur, be, she, indicatif futur,etre,,
etre, sera, 3-sg-n, indicatif-futur, be, it, indicatif futur,etre,,
etre, serons, 1-pl, indicatif-futur, be, we, indicatif futur,etre,,
etre, serez, 2-pl, indicatif-futur, be, you all, indicatif futur,etre,,
etre, seront, 3-pl-m, indicatif-futur, be, they (m), indicatif futur,etre,,
etre, seront, 3-pl-f, indicatif-futur, be, they (f), indicatif futur,etre,,
etre, ̩tais, 1-sg, indicatif-imparfait, be, i, indicatif imparfait,etre,,
etre, ̩tais, 2-sg, indicatif-imparfait, be, you, indicatif imparfait,etre,,
etre, ̩tait, 3-sg-m, indicatif-imparfait, be, he, indicatif imparfait,etre,,
etre, ̩tait, 3-sg-f, indicatif-imparfait, be, she, indicatif imparfait,etre,,
etre, ̩tait, 3-sg-n, indicatif-imparfait, be, it, indicatif imparfait,etre,,
etre, ̩tions, 1-pl, indicatif-imparfait, be, we, indicatif imparfait,etre,,
etre, ̩tiez, 2-pl, indicatif-imparfait, be, you all, indicatif imparfait,etre,,
etre, ̩taient, 3-pl-m, indicatif-imparfait, be, they (m), indicatif imparfait,etre,,
etre, ̩taient, 3-pl-f, indicatif-imparfait, be, they (f), indicatif imparfait,etre,,
etre, fus, 1-sg, indicatif-passe-simple, be, i, indicatif passe simple,etre,,
etre, fus, 2-sg, indicatif-passe-simple, be, you, indicatif passe simple,etre,,
etre, fut, 3-sg-m, indicatif-passe-simple, be, he, indicatif passe simple,etre,,
etre, fut, 3-sg-f, indicatif-passe-simple, be, she, indicatif passe simple,etre,,
etre, fut, 3-sg-n, indicatif-passe-simple, be, it, indicatif passe simple,etre,,
etre, f��mes, 1-pl, indicatif-passe-simple, be, we, indicatif passe simple,etre,,
etre, f��tes, 2-pl, indicatif-passe-simple, be, you all, indicatif passe simple,etre,,
etre, furent, 3-pl-m, indicatif-passe-simple, be, they (m), indicatif passe simple,etre,,
etre, furent, 3-pl-f, indicatif-passe-simple, be, they (f), indicatif passe simple,etre,,
etre, suis, 1-sg, indicatif-present, be, i, indicatif present,etre,,
etre, es, 2-sg, indicatif-present, be, you, indicatif present,etre,,
etre, est, 3-sg-m, indicatif-present, be, he, indicatif present,etre,,
etre, est, 3-sg-f, indicatif-present, be, she, indicatif present,etre,,
etre, est, 3-sg-n, indicatif-present, be, it, indicatif present,etre,,
etre, sommes, 1-pl, indicatif-present, be, we, indicatif present,etre,,
etre, ̻tes, 2-pl, indicatif-present, be, you all, indicatif present,etre,,
etre, sont, 3-pl-m, indicatif-present, be, they (m), indicatif present,etre,,
etre, sont, 3-pl-f, indicatif-present, be, they (f), indicatif present,etre,,
etre, ̩t̩, 3-sg-m, participe-passe, be, he, participe passe,etre,,
etre, none, 3-pl-m, participe-passe, be, they (m), participe passe,etre,,
etre, none, 3-sg-f, participe-passe, be, she, participe passe,etre,,
etre, none, 3-pl-f, participe-passe, be, they (f), participe passe,etre,,
etre, fusse, 1-sg, subjonctif-imparfait, be, i, subjonctif imparfait,etre,,
etre, fusses, 2-sg, subjonctif-imparfait, be, you, subjonctif imparfait,etre,,
etre, f��t, 3-sg-m, subjonctif-imparfait, be, he, subjonctif imparfait,etre,,
etre, f��t, 3-sg-f, subjonctif-imparfait, be, she, subjonctif imparfait,etre,,
etre, f��t, 3-sg-n, subjonctif-imparfait, be, it, subjonctif imparfait,etre,,
etre, fussions, 1-pl, subjonctif-imparfait, be, we, subjonctif imparfait,etre,,
etre, fussiez, 2-pl, subjonctif-imparfait, be, you all, subjonctif imparfait,etre,,
etre, fussent, 3-pl-m, subjonctif-imparfait, be, they (m), subjonctif imparfait,etre,,
etre, fussent, 3-pl-f, subjonctif-imparfait, be, they (f), subjonctif imparfait,etre,,
etre, sois, 1-sg, subjonctif-present, be, i, subjonctif present,etre,,
etre, sois, 2-sg, subjonctif-present, be, you, subjonctif present,etre,,
etre, soit, 3-sg-m, subjonctif-present, be, he, subjonctif present,etre,,
etre, soit, 3-sg-f, subjonctif-present, be, she, subjonctif present,etre,,
etre, soit, 3-sg-n, subjonctif-present, be, it, subjonctif present,etre,,
etre, soyons, 1-pl, subjonctif-present, be, we, subjonctif present,etre,,
etre, soyez, 2-pl, subjonctif-present, be, you all, subjonctif present,etre,,
etre, soient, 3-pl-m, subjonctif-present, be, they (m), subjonctif present,etre,,
etre, soient, 3-pl-f, subjonctif-present, be, they (f), subjonctif present,etre,,
abreger, abr, 1-sg, conditionnel-present, abridge, i, conditionnel present,abreger,,
abreger, abr, 2-sg, conditionnel-present, abridge, you, conditionnel present,abreger,,
abreger, abr, 3-sg-m, conditionnel-present, abridge, he, conditionnel present,abreger,,
abreger, abr, 3-sg-f, conditionnel-present, abridge, she, conditionnel present,abreger,,
abreger, abr, 3-sg-n, conditionnel-present, abridge, it, conditionnel present,abreger,,
abreger, abr, 1-pl, conditionnel-present, abridge, we, conditionnel present,abreger,,
abreger, abr, 2-pl, conditionnel-present, abridge, you all, conditionnel present,abreger,,
abreger, abr, 3-pl-m, conditionnel-present, abridge, they (m), conditionnel present,abreger,,
abreger, abr, 3-pl-f, conditionnel-present, abridge, they (f), conditionnel present,abreger,,
abreger, abr, 1-sg, imperatif-present, abridge, i, imperatif present,abreger,,
abreger, abr, 2-sg, imperatif-present, abridge, you, imperatif present,abreger,,
abreger, abr, 3-sg-m, imperatif-present, abridge, he, imperatif present,abreger,,
abreger, abr, 3-sg-f, imperatif-present, abridge, she, imperatif present,abreger,,
abreger, abr, 3-sg-n, imperatif-present, abridge, it, imperatif present,abreger,,
abreger, abr, 1-sg, indicatif-futur, abridge, i, indicatif futur,abreger,,
abreger, abr, 2-sg, indicatif-futur, abridge, you, indicatif futur,abreger,,
abreger, abr, 3-sg-m, indicatif-futur, abridge, he, indicatif futur,abreger,,
abreger, abr, 3-sg-f, indicatif-futur, abridge, she, indicatif futur,abreger,,
abreger, abr, 3-sg-n, indicatif-futur, abridge, it, indicatif futur,abreger,,
abreger, abr, 1-pl, indicatif-futur, abridge, we, indicatif futur,abreger,,
abreger, abr, 2-pl, indicatif-futur, abridge, you all, indicatif futur,abreger,,
abreger, abr, 3-pl-m, indicatif-futur, abridge, they (m), indicatif futur,abreger,,
abreger, abr, 3-pl-f, indicatif-futur, abridge, they (f), indicatif futur,abreger,,
abreger, abr, 1-sg, indicatif-imparfait, abridge, i, indicatif imparfait,abreger,,
abreger, abr, 2-sg, indicatif-imparfait, abridge, you, indicatif imparfait,abreger,,
abreger, abr, 3-sg-m, indicatif-imparfait, abridge, he, indicatif imparfait,abreger,,
abreger, abr, 3-sg-f, indicatif-imparfait, abridge, she, indicatif imparfait,abreger,,
abreger, abr, 3-sg-n, indicatif-imparfait, abridge, it, indicatif imparfait,abreger,,
abreger, abr, 1-pl, indicatif-imparfait, abridge, we, indicatif imparfait,abreger,,
abreger, abr, 2-pl, indicatif-imparfait, abridge, you all, indicatif imparfait,abreger,,
abreger, abr, 3-pl-m, indicatif-imparfait, abridge, they (m), indicatif imparfait,abreger,,
abreger, abr, 3-pl-f, indicatif-imparfait, abridge, they (f), indicatif imparfait,abreger,,
abreger, abr, 1-sg, indicatif-passe-simple, abridge, i, indicatif passe simple,abreger,,
abreger, abr, 2-sg, indicatif-passe-simple, abridge, you, indicatif passe simple,abreger,,
abreger, abr, 3-sg-m, indicatif-passe-simple, abridge, he, indicatif passe simple,abreger,,
abreger, abr, 3-sg-f, indicatif-passe-simple, abridge, she, indicatif passe simple,abreger,,
abreger, abr, 3-sg-n, indicatif-passe-simple, abridge, it, indicatif passe simple,abreger,,
abreger, abr, 1-pl, indicatif-passe-simple, abridge, we, indicatif passe simple,abreger,,
abreger, abr, 2-pl, indicatif-passe-simple, abridge, you all, indicatif passe simple,abreger,,
abreger, abr, 3-pl-m, indicatif-passe-simple, abridge, they (m), indicatif passe simple,abreger,,
abreger, abr, 3-pl-f, indicatif-passe-simple, abridge, they (f), indicatif passe simple,abreger,,
abreger, abr, 1-sg, indicatif-present, abridge, i, indicatif present,abreger,,
abreger, abr, 2-sg, indicatif-present, abridge, you, indicatif present,abreger,,
abreger, abr, 3-sg-m, indicatif-present, abridge, he, indicatif present,abreger,,
abreger, abr, 3-sg-f, indicatif-present, abridge, she, indicatif present,abreger,,
abreger, abr, 3-sg-n, indicatif-present, abridge, it, indicatif present,abreger,,
abreger, abr, 1-pl, indicatif-present, abridge, we, indicatif present,abreger,,
abreger, abr, 2-pl, indicatif-present, abridge, you all, indicatif present,abreger,,
abreger, abr, 3-pl-m, indicatif-present, abridge, they (m), indicatif present,abreger,,
