Verb,conjugation,subject,option,verb_translation,subject_translation,option_translation,verb_base
avoir, aurait, 3-sg-f, conditionnel-present, have, She, Conditional,avoir
avoir, aurait, 3-sg-n, conditionnel-present, have, It, Conditional,avoir
avoir, aurions, 1-pl, conditionnel-present, have, We, Conditional,avoir
avoir, auriez, 2-pl, conditionnel-present, have, You all, Conditional,avoir
avoir, auraient, 3-pl-m, conditionnel-present, have, They (m), Conditional,avoir
avoir, auraient, 3-pl-f, conditionnel-present, have, They (f), Conditional,avoir
avoir, aie, 1-sg, imperatif-present, have, I, Imperative,avoir
avoir, ayons, 2-sg, imperatif-present, have, You, Imperative,avoir
avoir, ayez, 3-sg-m, imperatif-present, have, He, Imperative,avoir
avoir, ayez, 3-sg-f, imperatif-present, have, She, Imperative,avoir
avoir, ayez, 3-sg-n, imperatif-present, have, It, Imperative,avoir
avoir, aurai, 1-sg, indicatif-futur, have, I, Indicative,avoir
avoir, auras, 2-sg, indicatif-futur, have, You, Indicative,avoir
avoir, aura, 3-sg-m, indicatif-futur, have, He, Indicative,avoir
avoir, aura, 3-sg-f, indicatif-futur, have, She, Indicative,avoir
avoir, aura, 3-sg-n, indicatif-futur, have, It, Indicative,avoir
avoir, aurons, 1-pl, indicatif-futur, have, We, Indicative,avoir
avoir, aurez, 2-pl, indicatif-futur, have, You all, Indicative,avoir
avoir, auront, 3-pl-m, indicatif-futur, have, They (m), Indicative,avoir
avoir, auront, 3-pl-f, indicatif-futur, have, They (f), Indicative,avoir
avoir, avais, 1-sg, indicatif-imparfait, have, I, Indicative,avoir
avoir, avais, 2-sg, indicatif-imparfait, have, You, Indicative,avoir
avoir, avait, 3-sg-m, indicatif-imparfait, have, He, Indicative,avoir
avoir, avait, 3-sg-f, indicatif-imparfait, have, She, Indicative,avoir
avoir, avait, 3-sg-n, indicatif-imparfait, have, It, Indicative,avoir
avoir, avions, 1-pl, indicatif-imparfait, have, We, Indicative,avoir
avoir, aviez, 2-pl, indicatif-imparfait, have, You all, Indicative,avoir
avoir, avaient, 3-pl-m, indicatif-imparfait, have, They (m), Indicative,avoir
avoir, avaient, 3-pl-f, indicatif-imparfait, have, They (f), Indicative,avoir
avoir, eus, 1-sg, indicatif-passe-simple, have, I, Indicative,avoir
avoir, eus, 2-sg, indicatif-passe-simple, have, You, Indicative,avoir
avoir, eut, 3-sg-m, indicatif-passe-simple, have, He, Indicative,avoir
avoir, eut, 3-sg-f, indicatif-passe-simple, have, She, Indicative,avoir
avoir, eut, 3-sg-n, indicatif-passe-simple, have, It, Indicative,avoir
avoir, e��mes, 1-pl, indicatif-passe-simple, have, We, Indicative,avoir
avoir, e��tes, 2-pl, indicatif-passe-simple, have, You all, Indicative,avoir
avoir, eurent, 3-pl-m, indicatif-passe-simple, have, They (m), Indicative,avoir
avoir, eurent, 3-pl-f, indicatif-passe-simple, have, They (f), Indicative,avoir
avoir, ai, 1-sg, indicatif-present, have, I, Indicative,avoir
avoir, as, 2-sg, indicatif-present, have, You, Indicative,avoir
avoir, a, 3-sg-m, indicatif-present, have, He, Indicative,avoir
avoir, a, 3-sg-f, indicatif-present, have, She, Indicative,avoir
avoir, a, 3-sg-n, indicatif-present, have, It, Indicative,avoir
avoir, avons, 1-pl, indicatif-present, have, We, Indicative,avoir
avoir, avez, 2-pl, indicatif-present, have, You all, Indicative,avoir
avoir, ont, 3-pl-m, indicatif-present, have, They (m), Indicative,avoir
avoir, ont, 3-pl-f, indicatif-present, have, They (f), Indicative,avoir
avoir, eu, 3-sg-m, participe-passe, have, He, Participal,avoir
avoir, eus, 3-pl-m, participe-passe, have, They (m), Participal,avoir
avoir, eue, 3-sg-f, participe-passe, have, She, Participal,avoir
avoir, eues, 3-pl-f, participe-passe, have, They (f), Participal,avoir
avoir, eusse, 1-sg, subjonctif-imparfait, have, I, Subjonctive,avoir
avoir, eusses, 2-sg, subjonctif-imparfait, have, You, Subjonctive,avoir
avoir, e��t, 3-sg-m, subjonctif-imparfait, have, He, Subjonctive,avoir
avoir, e��t, 3-sg-f, subjonctif-imparfait, have, She, Subjonctive,avoir
avoir, e��t, 3-sg-n, subjonctif-imparfait, have, It, Subjonctive,avoir
avoir, eussions, 1-pl, subjonctif-imparfait, have, We, Subjonctive,avoir
avoir, eussiez, 2-pl, subjonctif-imparfait, have, You all, Subjonctive,avoir
avoir, eussent, 3-pl-m, subjonctif-imparfait, have, They (m), Subjonctive,avoir
avoir, eussent, 3-pl-f, subjonctif-imparfait, have, They (f), Subjonctive,avoir
avoir, aie, 1-sg, subjonctif-present, have, I, Subjonctive,avoir
avoir, aies, 2-sg, subjonctif-present, have, You, Subjonctive,avoir
avoir, ait, 3-sg-m, subjonctif-present, have, He, Subjonctive,avoir
avoir, ait, 3-sg-f, subjonctif-present, have, She, Subjonctive,avoir
avoir, ait, 3-sg-n, subjonctif-present, have, It, Subjonctive,avoir
avoir, ayons, 1-pl, subjonctif-present, have, We, Subjonctive,avoir
avoir, ayez, 2-pl, subjonctif-present, have, You all, Subjonctive,avoir
avoir, aient, 3-pl-m, subjonctif-present, have, They (m), Subjonctive,avoir
avoir, aient, 3-pl-f, subjonctif-present, have, They (f), Subjonctive,avoir
ravoir, None, 1-sg, conditionnel-present, get back, I, Conditional,ravoir
ravoir, None, 2-sg, conditionnel-present, get back, You, Conditional,ravoir
ravoir, None, 3-sg-m, conditionnel-present, get back, He, Conditional,ravoir
ravoir, None, 3-sg-f, conditionnel-present, get back, She, Conditional,ravoir
ravoir, None, 3-sg-n, conditionnel-present, get back, It, Conditional,ravoir
ravoir, None, 1-pl, conditionnel-present, get back, We, Conditional,ravoir
ravoir, None, 2-pl, conditionnel-present, get back, You all, Conditional,ravoir
ravoir, None, 3-pl-m, conditionnel-present, get back, They (m), Conditional,ravoir
ravoir, None, 3-pl-f, conditionnel-present, get back, They (f), Conditional,ravoir
ravoir, None, 1-sg, imperatif-present, get back, I, Imperative,ravoir
ravoir, None, 2-sg, imperatif-present, get back, You, Imperative,ravoir
ravoir, None, 3-sg-m, imperatif-present, get back, He, Imperative,ravoir
ravoir, None, 3-sg-f, imperatif-present, get back, She, Imperative,ravoir
ravoir, None, 3-sg-n, imperatif-present, get back, It, Imperative,ravoir
ravoir, None, 1-sg, indicatif-futur, get back, I, Indicative,ravoir
ravoir, None, 2-sg, indicatif-futur, get back, You, Indicative,ravoir
ravoir, None, 3-sg-m, indicatif-futur, get back, He, Indicative,ravoir
ravoir, None, 3-sg-f, indicatif-futur, get back, She, Indicative,ravoir
ravoir, None, 3-sg-n, indicatif-futur, get back, It, Indicative,ravoir
ravoir, None, 1-pl, indicatif-futur, get back, We, Indicative,ravoir
ravoir, None, 2-pl, indicatif-futur, get back, You all, Indicative,ravoir
ravoir, None, 3-pl-m, indicatif-futur, get back, They (m), Indicative,ravoir
ravoir, None, 3-pl-f, indicatif-futur, get back, They (f), Indicative,ravoir
ravoir, None, 1-sg, indicatif-imparfait, get back, I, Indicative,ravoir
ravoir, None, 2-sg, indicatif-imparfait, get back, You, Indicative,ravoir
ravoir, None, 3-sg-m, indicatif-imparfait, get back, He, Indicative,ravoir
ravoir, None, 3-sg-f, indicatif-imparfait, get back, She, Indicative,ravoir
ravoir, None, 3-sg-n, indicatif-imparfait, get back, It, Indicative,ravoir
ravoir, None, 1-pl, indicatif-imparfait, get back, We, Indicative,ravoir
ravoir, None, 2-pl, indicatif-imparfait, get back, You all, Indicative,ravoir
ravoir, None, 3-pl-m, indicatif-imparfait, get back, They (m), Indicative,ravoir
ravoir, None, 3-pl-f, indicatif-imparfait, get back, They (f), Indicative,ravoir
ravoir, None, 1-sg, indicatif-passe-simple, get back, I, Indicative,ravoir
ravoir, None, 2-sg, indicatif-passe-simple, get back, You, Indicative,ravoir
ravoir, None, 3-sg-m, indicatif-passe-simple, get back, He, Indicative,ravoir
ravoir, None, 3-sg-f, indicatif-passe-simple, get back, She, Indicative,ravoir
ravoir, None, 3-sg-n, indicatif-passe-simple, get back, It, Indicative,ravoir
ravoir, None, 1-pl, indicatif-passe-simple, get back, We, Indicative,ravoir
ravoir, None, 2-pl, indicatif-passe-simple, get back, You all, Indicative,ravoir
ravoir, None, 3-pl-m, indicatif-passe-simple, get back, They (m), Indicative,ravoir
ravoir, None, 3-pl-f, indicatif-passe-simple, get back, They (f), Indicative,ravoir
ravoir, None, 1-sg, indicatif-present, get back, I, Indicative,ravoir
ravoir, None, 2-sg, indicatif-present, get back, You, Indicative,ravoir
ravoir, None, 3-sg-m, indicatif-present, get back, He, Indicative,ravoir
ravoir, None, 3-sg-f, indicatif-present, get back, She, Indicative,ravoir
ravoir, None, 3-sg-n, indicatif-present, get back, It, Indicative,ravoir
ravoir, None, 1-pl, indicatif-present, get back, We, Indicative,ravoir
ravoir, None, 2-pl, indicatif-present, get back, You all, Indicative,ravoir
ravoir, None, 3-pl-m, indicatif-present, get back, They (m), Indicative,ravoir
ravoir, None, 3-pl-f, indicatif-present, get back, They (f), Indicative,ravoir
ravoir, None, 3-sg-m, participe-passe, get back, He, Participal,ravoir
ravoir, None, 3-pl-m, participe-passe, get back, They (m), Participal,ravoir
ravoir, None, 3-sg-f, participe-passe, get back, She, Participal,ravoir
ravoir, None, 3-pl-f, participe-passe, get back, They (f), Participal,ravoir
ravoir, None, 1-sg, subjonctif-imparfait, get back, I, Subjonctive,ravoir
ravoir, None, 2-sg, subjonctif-imparfait, get back, You, Subjonctive,ravoir
ravoir, None, 3-sg-m, subjonctif-imparfait, get back, He, Subjonctive,ravoir
ravoir, None, 3-sg-f, subjonctif-imparfait, get back, She, Subjonctive,ravoir
ravoir, None, 3-sg-n, subjonctif-imparfait, get back, It, Subjonctive,ravoir
ravoir, None, 1-pl, subjonctif-imparfait, get back, We, Subjonctive,ravoir
ravoir, None, 2-pl, subjonctif-imparfait, get back, You all, Subjonctive,ravoir
ravoir, None, 3-pl-m, subjonctif-imparfait, get back, They (m), Subjonctive,ravoir
ravoir, None, 3-pl-f, subjonctif-imparfait, get back, They (f), Subjonctive,ravoir
ravoir, None, 1-sg, subjonctif-present, get back, I, Subjonctive,ravoir
ravoir, None, 2-sg, subjonctif-present, get back, You, Subjonctive,ravoir
ravoir, None, 3-sg-m, subjonctif-present, get back, He, Subjonctive,ravoir
ravoir, None, 3-sg-f, subjonctif-present, get back, She, Subjonctive,ravoir
ravoir, None, 3-sg-n, subjonctif-present, get back, It, Subjonctive,ravoir
ravoir, None, 1-pl, subjonctif-present, get back, We, Subjonctive,ravoir
ravoir, None, 2-pl, subjonctif-present, get back, You all, Subjonctive,ravoir
ravoir, None, 3-pl-m, subjonctif-present, get back, They (m), Subjonctive,ravoir
ravoir, None, 3-pl-f, subjonctif-present, get back, They (f), Subjonctive,ravoir
etre, serais, 1-sg, conditionnel-present, be, I, Conditional,etre
etre, serais, 2-sg, conditionnel-present, be, You, Conditional,etre
etre, serait, 3-sg-m, conditionnel-present, be, He, Conditional,etre
etre, serait, 3-sg-f, conditionnel-present, be, She, Conditional,etre
etre, serait, 3-sg-n, conditionnel-present, be, It, Conditional,etre
etre, serions, 1-pl, conditionnel-present, be, We, Conditional,etre
etre, seriez, 2-pl, conditionnel-present, be, You all, Conditional,etre
etre, seraient, 3-pl-m, conditionnel-present, be, They (m), Conditional,etre
etre, seraient, 3-pl-f, conditionnel-present, be, They (f), Conditional,etre
etre, sois, 1-sg, imperatif-present, be, I, Imperative,etre
etre, soyons, 2-sg, imperatif-present, be, You, Imperative,etre
etre, soyez, 3-sg-m, imperatif-present, be, He, Imperative,etre
etre, soyez, 3-sg-f, imperatif-present, be, She, Imperative,etre
etre, soyez, 3-sg-n, imperatif-present, be, It, Imperative,etre
etre, serai, 1-sg, indicatif-futur, be, I, Indicative,etre
etre, seras, 2-sg, indicatif-futur, be, You, Indicative,etre
etre, sera, 3-sg-m, indicatif-futur, be, He, Indicative,etre
etre, sera, 3-sg-f, indicatif-futur, be, She, Indicative,etre
etre, sera, 3-sg-n, indicatif-futur, be, It, Indicative,etre
etre, serons, 1-pl, indicatif-futur, be, We, Indicative,etre
etre, serez, 2-pl, indicatif-futur, be, You all, Indicative,etre
etre, seront, 3-pl-m, indicatif-futur, be, They (m), Indicative,etre
etre, seront, 3-pl-f, indicatif-futur, be, They (f), Indicative,etre
etre, ̩tais, 1-sg, indicatif-imparfait, be, I, Indicative,etre
etre, ̩tais, 2-sg, indicatif-imparfait, be, You, Indicative,etre
etre, ̩tait, 3-sg-m, indicatif-imparfait, be, He, Indicative,etre
etre, ̩tait, 3-sg-f, indicatif-imparfait, be, She, Indicative,etre
etre, ̩tait, 3-sg-n, indicatif-imparfait, be, It, Indicative,etre
etre, ̩tions, 1-pl, indicatif-imparfait, be, We, Indicative,etre
etre, ̩tiez, 2-pl, indicatif-imparfait, be, You all, Indicative,etre
etre, ̩taient, 3-pl-m, indicatif-imparfait, be, They (m), Indicative,etre
etre, ̩taient, 3-pl-f, indicatif-imparfait, be, They (f), Indicative,etre
etre, fus, 1-sg, indicatif-passe-simple, be, I, Indicative,etre
etre, fus, 2-sg, indicatif-passe-simple, be, You, Indicative,etre
etre, fut, 3-sg-m, indicatif-passe-simple, be, He, Indicative,etre
etre, fut, 3-sg-f, indicatif-passe-simple, be, She, Indicative,etre
etre, fut, 3-sg-n, indicatif-passe-simple, be, It, Indicative,etre
etre, f��mes, 1-pl, indicatif-passe-simple, be, We, Indicative,etre
etre, f��tes, 2-pl, indicatif-passe-simple, be, You all, Indicative,etre
etre, furent, 3-pl-m, indicatif-passe-simple, be, They (m), Indicative,etre
etre, furent, 3-pl-f, indicatif-passe-simple, be, They (f), Indicative,etre
etre, suis, 1-sg, indicatif-present, be, I, Indicative,etre
etre, es, 2-sg, indicatif-present, be, You, Indicative,etre
etre, est, 3-sg-m, indicatif-present, be, He, Indicative,etre
etre, est, 3-sg-f, indicatif-present, be, She, Indicative,etre
etre, est, 3-sg-n, indicatif-present, be, It, Indicative,etre
etre, sommes, 1-pl, indicatif-present, be, We, Indicative,etre
etre, ̻tes, 2-pl, indicatif-present, be, You all, Indicative,etre
etre, sont, 3-pl-m, indicatif-present, be, They (m), Indicative,etre
etre, sont, 3-pl-f, indicatif-present, be, They (f), Indicative,etre
etre, ̩t̩, 3-sg-m, participe-passe, be, He, Participal,etre
etre, None, 3-pl-m, participe-passe, be, They (m), Participal,etre
etre, None, 3-sg-f, participe-passe, be, She, Participal,etre
etre, None, 3-pl-f, participe-passe, be, They (f), Participal,etre
etre, fusse, 1-sg, subjonctif-imparfait, be, I, Subjonctive,etre
etre, fusses, 2-sg, subjonctif-imparfait, be, You, Subjonctive,etre
etre, f��t, 3-sg-m, subjonctif-imparfait, be, He, Subjonctive,etre
etre, f��t, 3-sg-f, subjonctif-imparfait, be, She, Subjonctive,etre
etre, f��t, 3-sg-n, subjonctif-imparfait, be, It, Subjonctive,etre
etre, fussions, 1-pl, subjonctif-imparfait, be, We, Subjonctive,etre
etre, fussiez, 2-pl, subjonctif-imparfait, be, You all, Subjonctive,etre
etre, fussent, 3-pl-m, subjonctif-imparfait, be, They (m), Subjonctive,etre
etre, fussent, 3-pl-f, subjonctif-imparfait, be, They (f), Subjonctive,etre
etre, sois, 1-sg, subjonctif-present, be, I, Subjonctive,etre
etre, sois, 2-sg, subjonctif-present, be, You, Subjonctive,etre
etre, soit, 3-sg-m, subjonctif-present, be, He, Subjonctive,etre
etre, soit, 3-sg-f, subjonctif-present, be, She, Subjonctive,etre
etre, soit, 3-sg-n, subjonctif-present, be, It, Subjonctive,etre
etre, soyons, 1-pl, subjonctif-present, be, We, Subjonctive,etre
etre, soyez, 2-pl, subjonctif-present, be, You all, Subjonctive,etre
etre, soient, 3-pl-m, subjonctif-present, be, They (m), Subjonctive,etre
etre, soient, 3-pl-f, subjonctif-present, be, They (f), Subjonctive,etre
abreger, abr, 1-sg, conditionnel-present, abridge, I, Conditional,abreger
abreger, abr, 2-sg, conditionnel-present, abridge, You, Conditional,abreger
abreger, abr, 3-sg-m, conditionnel-present, abridge, He, Conditional,abreger
abreger, abr, 3-sg-f, conditionnel-present, abridge, She, Conditional,abreger
abreger, abr, 3-sg-n, conditionnel-present, abridge, It, Conditional,abreger
abreger, abr, 1-pl, conditionnel-present, abridge, We, Conditional,abreger
abreger, abr, 2-pl, conditionnel-present, abridge, You all, Conditional,abreger
abreger, abr, 3-pl-m, conditionnel-present, abridge, They (m), Conditional,abreger
abreger, abr, 3-pl-f, conditionnel-present, abridge, They (f), Conditional,abreger
abreger, abr, 1-sg, imperatif-present, abridge, I, Imperative,abreger
abreger, abr, 2-sg, imperatif-present, abridge, You, Imperative,abreger
abreger, abr, 3-sg-m, imperatif-present, abridge, He, Imperative,abreger
abreger, abr, 3-sg-f, imperatif-present, abridge, She, Imperative,abreger
abreger, abr, 3-sg-n, imperatif-present, abridge, It, Imperative,abreger
abreger, abr, 1-sg, indicatif-futur, abridge, I, Indicative,abreger
abreger, abr, 2-sg, indicatif-futur, abridge, You, Indicative,abreger
abreger, abr, 3-sg-m, indicatif-futur, abridge, He, Indicative,abreger
abreger, abr, 3-sg-f, indicatif-futur, abridge, She, Indicative,abreger
abreger, abr, 3-sg-n, indicatif-futur, abridge, It, Indicative,abreger
abreger, abr, 1-pl, indicatif-futur, abridge, We, Indicative,abreger
abreger, abr, 2-pl, indicatif-futur, abridge, You all, Indicative,abreger
abreger, abr, 3-pl-m, indicatif-futur, abridge, They (m), Indicative,abreger
abreger, abr, 3-pl-f, indicatif-futur, abridge, They (f), Indicative,abreger
abreger, abr, 1-sg, indicatif-imparfait, abridge, I, Indicative,abreger
abreger, abr, 2-sg, indicatif-imparfait, abridge, You, Indicative,abreger
abreger, abr, 3-sg-m, indicatif-imparfait, abridge, He, Indicative,abreger
abreger, abr, 3-sg-f, indicatif-imparfait, abridge, She, Indicative,abreger
abreger, abr, 3-sg-n, indicatif-imparfait, abridge, It, Indicative,abreger
abreger, abr, 1-pl, indicatif-imparfait, abridge, We, Indicative,abreger
abreger, abr, 2-pl, indicatif-imparfait, abridge, You all, Indicative,abreger
abreger, abr, 3-pl-m, indicatif-imparfait, abridge, They (m), Indicative,abreger
abreger, abr, 3-pl-f, indicatif-imparfait, abridge, They (f), Indicative,abreger
abreger, abr, 1-sg, indicatif-passe-simple, abridge, I, Indicative,abreger
abreger, abr, 2-sg, indicatif-passe-simple, abridge, You, Indicative,abreger
abreger, abr, 3-sg-m, indicatif-passe-simple, abridge, He, Indicative,abreger
abreger, abr, 3-sg-f, indicatif-passe-simple, abridge, She, Indicative,abreger
abreger, abr, 3-sg-n, indicatif-passe-simple, abridge, It, Indicative,abreger
abreger, abr, 1-pl, indicatif-passe-simple, abridge, We, Indicative,abreger
abreger, abr, 2-pl, indicatif-passe-simple, abridge, You all, Indicative,abreger
abreger, abr, 3-pl-m, indicatif-passe-simple, abridge, They (m), Indicative,abreger
abreger, abr, 3-pl-f, indicatif-passe-simple, abridge, They (f), Indicative,abreger
abreger, abr, 1-sg, indicatif-present, abridge, I, Indicative,abreger
abreger, abr, 2-sg, indicatif-present, abridge, You, Indicative,abreger
abreger, abr, 3-sg-m, indicatif-present, abridge, He, Indicative,abreger
abreger, abr, 3-sg-f, indicatif-present, abridge, She, Indicative,abreger
abreger, abr, 3-sg-n, indicatif-present, abridge, It, Indicative,abreger
abreger, abr, 1-pl, indicatif-present, abridge, We, Indicative,abreger
abreger, abr, 2-pl, indicatif-present, abridge, You all, Indicative,abreger
abreger, abr, 3-pl-m, indicatif-present, abridge, They (m), Indicative,abreger
abreger, abr, 3-pl-f, indicatif-present, abridge, They (f), Indicative,abreger
abreger, abr, 3-sg-m, participe-passe, abridge, He, Participal,abreger
abreger, abr, 3-pl-m, participe-passe, abridge, They (m), Participal,abreger
abreger, abr, 3-sg-f, participe-passe, abridge, She, Participal,abreger
abreger, abr, 3-pl-f, participe-passe, abridge, They (f), Participal,abreger
abreger, abr, 1-sg, subjonctif-imparfait, abridge, I, Subjonctive,abreger
abreger, abr, 2-sg, subjonctif-imparfait, abridge, You, Subjonctive,abreger
abreger, abr, 3-sg-m, subjonctif-imparfait, abridge, He, Subjonctive,abreger
abreger, abr, 3-sg-f, subjonctif-imparfait, abridge, She, Subjonctive,abreger
abreger, abr, 3-sg-n, subjonctif-imparfait, abridge, It, Subjonctive,abreger
abreger, abr, 1-pl, subjonctif-imparfait, abridge, We, Subjonctive,abreger
abreger, abr, 2-pl, subjonctif-imparfait, abridge, You all, Subjonctive,abreger
abreger, abr, 3-pl-m, subjonctif-imparfait, abridge, They (m), Subjonctive,abreger
abreger, abr, 3-pl-f, subjonctif-imparfait, abridge, They (f), Subjonctive,abreger
abreger, abr, 1-sg, subjonctif-present, abridge, I, Subjonctive,abreger
abreger, abr, 2-sg, subjonctif-present, abridge, You, Subjonctive,abreger
abreger, abr, 3-sg-m, subjonctif-present, abridge, He, Subjonctive,abreger
abreger, abr, 3-sg-f, subjonctif-present, abridge, She, Subjonctive,abreger
abreger, abr, 3-sg-n, subjonctif-present, abridge, It, Subjonctive,abreger
abreger, abr, 1-pl, subjonctif-present, abridge, We, Subjonctive,abreger
abreger, abr, 2-pl, subjonctif-present, abridge, You all, Subjonctive,abreger
abreger, abr, 3-pl-m, subjonctif-present, abridge, They (m), Subjonctive,abreger
abreger, abr, 3-pl-f, subjonctif-present, abridge, They (f), Subjonctive,abreger
absoudre, abso, 1-sg, conditionnel-present, absolve, I, Conditional,absoudre
absoudre, abso, 2-sg, conditionnel-present, absolve, You, Conditional,absoudre
absoudre, abso, 3-sg-m, conditionnel-present, absolve, He, Conditional,absoudre
absoudre, abso, 3-sg-f, conditionnel-present, absolve, She, Conditional,absoudre
absoudre, abso, 3-sg-n, conditionnel-present, absolve, It, Conditional,absoudre
absoudre, abso, 1-pl, conditionnel-present, absolve, We, Conditional,absoudre
absoudre, abso, 2-pl, conditionnel-present, absolve, You all, Conditional,absoudre
absoudre, abso, 3-pl-m, conditionnel-present, absolve, They (m), Conditional,absoudre
absoudre, abso, 3-pl-f, conditionnel-present, absolve, They (f), Conditional,absoudre
absoudre, abso, 1-sg, imperatif-present, absolve, I, Imperative,absoudre
absoudre, abso, 2-sg, imperatif-present, absolve, You, Imperative,absoudre
absoudre, abso, 3-sg-m, imperatif-present, absolve, He, Imperative,absoudre
absoudre, abso, 3-sg-f, imperatif-present, absolve, She, Imperative,absoudre
